hr,temp,gsr,mood
56.05685683140064,31.474112500558846,118.30521728397176,Fatigued
62.5,32.57,152.1,Fatigued
61.2,32.03,226.1,Fatigued
72.7,33.46,247.0,Relaxed
70.42486514572428,33.24635123284249,175.44278005750255,Relaxed
56.8,31.54,159.1,Fatigued
63.7,33.04,182.5,Relaxed
79.01072523248162,33.81819747833669,416.7751718767508,Focused
55.4,31.18,159.0,Fatigued
52.1,31.62,125.0,Fatigued
70.3,32.85,183.5,Relaxed
90.5,34.72,462.1,Stressed
94.6,35.62,549.0,Focused
82.8,33.59,433.9,Stressed
85.2,33.99,417.5,Stressed
69.7,33.0,220.2,Relaxed
84.5,34.52,348.2,Focused
65.7,32.56,279.5,Fatigued
59.1,32.14,175.9,Fatigued
68.4,33.23,249.2,Relaxed
107.7,36.07,635.1,Stressed
83.2,34.68,397.8,Focused
63.0,32.25,230.2,Fatigued
118.20300598267976,36.85121962910781,607.4034659324124,Stressed
79.6,34.0,330.8,Focused
61.9,33.05,196.3,Relaxed
66.4,32.76,149.2,Relaxed
55.79105300516317,31.047842208365733,209.54433524265264,Fatigued
73.5,33.46,215.6,Relaxed
72.2,33.65,276.9,Relaxed
85.4,34.58,427.2,Focused
68.0,33.24,198.8,Relaxed
106.5,35.81,608.5,Stressed
84.9,34.47,396.8,Focused
93.0,35.02,507.2,Focused
126.94497681363364,36.37080050644496,848.9146230564484,Stressed
89.0,34.62,445.1,Focused
64.34721111563822,33.256136002361984,141.6500905830281,Relaxed
76.5009895293074,34.22132056843822,313.6391171419751,Focused
57.0,31.59,157.3,Fatigued
59.9,31.53,168.5,Fatigued
93.5,34.8,501.3,Stressed
105.5,36.03,623.0,Stressed
78.2,33.87,323.7,Focused
84.2,34.66,398.4,Focused
79.1,33.18,370.5,Stressed
63.2,32.0,184.6,Fatigued
72.59489287047906,32.205350237384245,109.05859766097349,Relaxed
82.6,33.91,452.3,Stressed
107.7,35.97,596.6,Stressed
101.87415135745614,36.52015301239874,568.3681275874595,Stressed
71.9,33.77,276.1,Relaxed
67.4,33.25,206.6,Relaxed
58.9,31.33,154.6,Fatigued
66.8,33.07,186.1,Relaxed
56.2,31.46,151.6,Fatigued
70.9,33.59,245.8,Relaxed
66.0,33.0,181.8,Relaxed
100.0,35.69,576.7,Stressed
98.5,35.47,529.1,Focused
110.2,35.99,646.2,Stressed
57.0,31.9,178.9,Fatigued
68.5,32.79,184.0,Relaxed
60.0,31.82,160.3,Fatigued
88.7,34.74,456.0,Focused
95.6,35.03,483.8,Stressed
108.8,36.36,612.0,Stressed
100.1,35.23,577.0,Stressed
63.8,32.23,180.6,Fatigued
98.2,35.62,569.7,Stressed
77.4,33.97,336.7,Focused
68.7,32.98,238.3,Relaxed
69.2,33.01,187.7,Relaxed
81.0,33.93,414.4,Stressed
57.0,31.53,149.0,Fatigued
55.3,31.39,142.9,Fatigued
101.6,35.74,556.2,Stressed
82.1,34.08,346.6,Focused
108.5,35.91,612.3,Stressed
78.2,33.82,295.4,Relaxed
62.7,32.27,185.0,Relaxed
68.3,33.38,175.6,Relaxed
66.2,32.55,185.3,Relaxed
92.9,34.67,471.5,Stressed
60.8,32.07,144.0,Fatigued
78.3,33.21,354.7,Stressed
82.9,33.91,405.1,Focused
64.1,32.28,253.4,Fatigued
58.0,31.7,165.3,Fatigued
79.4,33.77,405.5,Stressed
82.0,33.87,336.9,Focused
86.12698709441624,34.45856262176398,343.87728625580746,Focused
100.5,34.93,532.2,Stressed
87.4,34.07,465.5,Stressed
91.2,34.56,432.0,Focused
94.8,35.07,505.0,Stressed
65.4,32.28,295.1,Fatigued
67.0,32.08,265.7,Fatigued
73.7,33.49,295.9,Relaxed
75.7,34.01,281.2,Relaxed
64.55615701200189,33.65282978955931,139.11983547029777,Relaxed
69.6,32.53,281.8,Fatigued
103.0,35.85,558.2,Stressed
73.2,33.29,259.6,Relaxed
69.4,33.55,207.8,Relaxed
88.6,34.5,409.6,Focused
108.3,36.11,633.1,Stressed
89.1,34.86,409.0,Focused
103.7,36.05,613.3,Stressed
109.1,36.31,632.1,Stressed
108.0655694443744,36.06529199432692,566.2528720850135,Stressed
85.8,34.19,382.3,Focused
94.3,34.44,521.6,Stressed
63.28497332528942,32.81763017703625,275.4103217120022,Relaxed
85.2,34.56,425.7,Focused
73.7,33.72,237.9,Relaxed
95.1,34.69,470.6,Focused
88.0,33.99,408.6,Stressed
101.14149498137361,36.41694697155399,734.974345891639,Stressed
85.5,34.54,391.2,Focused
62.0,32.35,190.4,Relaxed
90.8,34.62,476.2,Focused
58.911086737912335,30.893208144736676,204.8272412096397,Fatigued
107.8,35.9,617.3,Stressed
98.3,35.5,564.2,Focused
72.6,33.57,245.9,Relaxed
82.6,34.37,381.5,Focused
72.0,33.57,267.3,Relaxed
107.39006663490511,35.05682039408621,749.7408176671787,Stressed
68.5,32.79,230.9,Relaxed
60.8,32.03,164.4,Fatigued
78.0,33.62,267.4,Relaxed
77.0,33.75,267.3,Relaxed
63.3,32.56,173.5,Relaxed
68.17170035928238,33.29230699730243,262.44022346215985,Relaxed
57.2,31.73,165.3,Fatigued
75.9,32.4,316.0,Fatigued
66.3,32.51,260.5,Fatigued
99.4,35.34,524.3,Focused
73.3,33.52,228.0,Relaxed
66.9807996569121,33.868189481957856,263.4868360588321,Relaxed
62.7,32.81,189.4,Relaxed
63.8,31.87,144.8,Fatigued
104.1,36.01,608.0,Stressed
102.3,35.85,589.3,Stressed
76.7,33.67,414.2,Stressed
88.9,34.58,407.5,Focused
79.0,34.34,323.5,Focused
58.6,32.04,214.5,Fatigued
86.2,34.45,393.7,Focused
98.1,35.42,513.1,Focused
84.4,34.15,417.7,Stressed
65.2,32.67,206.7,Relaxed
73.2,33.89,295.3,Relaxed
67.8,33.22,180.2,Relaxed
59.5,31.28,163.1,Fatigued
83.6,34.07,383.1,Focused
55.1,31.98,172.6,Fatigued
90.3,34.95,478.4,Stressed
68.51714248599696,32.6051406942858,193.27586172093856,Relaxed
60.0,31.59,158.6,Fatigued
58.1,32.38,190.9,Fatigued
134.99501898623998,36.33424553010109,587.2542360270585,Stressed
59.5,31.86,170.6,Fatigued
87.72760909069974,33.25758345708739,329.0947226338185,Focused
66.6,31.96,251.7,Fatigued
82.2,33.81,386.2,Stressed
103.2,35.82,594.4,Stressed
64.3,32.83,183.0,Relaxed
78.2,33.94,289.5,Focused
62.1,31.93,164.9,Fatigued
75.9,34.09,234.4,Relaxed
81.7,34.21,362.6,Focused
84.0,34.39,392.0,Focused
98.2,35.49,541.0,Focused
59.2,31.56,178.2,Fatigued
107.71704446647189,34.887912790108835,498.2351299985174,Stressed
57.0,31.93,203.0,Fatigued
144.090809624464,37.48939573513836,790.4160808146248,Stressed
68.4,32.61,177.1,Relaxed
65.7,32.74,194.9,Relaxed
82.8,34.41,327.9,Focused
72.6,32.92,302.1,Fatigued
60.3,32.16,155.9,Fatigued
70.54461900488114,33.3444219037501,103.30287534663015,Relaxed
74.1737208751239,33.187536214341606,173.35017961462546,Relaxed
58.7,31.78,176.1,Fatigued
83.2250089222232,34.251757480778,435.6074116842021,Focused
58.9,31.96,211.4,Fatigued
57.4,31.5,171.7,Fatigued
104.1,36.02,599.6,Stressed
60.9,31.79,200.4,Fatigued
99.7,35.31,489.6,Focused
65.5,32.71,178.0,Relaxed
72.2,33.63,265.9,Relaxed
82.3,34.36,348.6,Focused
81.3,34.2,408.5,Stressed
106.5,35.7,611.8,Stressed
81.0,34.21,385.3,Focused
90.6,35.5,470.8,Focused
81.2,34.13,371.7,Focused
60.7,32.43,145.0,Fatigued
91.4,35.32,514.2,Focused
55.447206716378915,31.106588550188107,151.317161015865,Fatigued
79.6,34.16,361.1,Focused
105.7,36.05,621.5,Stressed
77.0,33.64,303.5,Relaxed
88.1,34.76,454.8,Focused
68.03333260470366,33.04405126179195,267.10685123170657,Relaxed
55.6,31.73,146.8,Fatigued
64.9,33.0,200.8,Relaxed
55.3,31.44,149.7,Fatigued
56.3,31.45,154.9,Fatigued
99.5,35.49,557.6,Focused
75.4,33.85,260.3,Relaxed
57.9,31.83,199.3,Fatigued
85.50833898989555,35.137128570050706,459.4351736702946,Focused
83.41253599529198,34.089456561974536,406.65524097663615,Focused
81.9,34.42,353.3,Focused
86.47923279296758,34.758110721334454,425.3947616103087,Focused
92.0,34.62,434.6,Focused
84.5,34.17,368.7,Focused
67.6,33.25,198.8,Relaxed
54.5,31.4,156.8,Fatigued
60.2,31.97,172.2,Fatigued
55.17302212651694,31.525627281569612,145.21446429104063,Fatigued
100.6,35.89,526.8,Stressed
112.90977353364882,35.060249407671584,656.8712269740765,Stressed
65.6,32.38,192.3,Relaxed
95.1,35.2,522.1,Focused
107.4,36.0,627.7,Stressed
95.01422121775133,35.262653170601055,610.725029492689,Stressed
61.1,32.38,159.0,Fatigued
89.3,35.04,456.0,Focused
75.2,33.88,285.4,Relaxed
69.2,33.54,232.5,Relaxed
56.20647048648703,30.984590071102165,124.61534571647283,Fatigued
48.641046131506435,30.87304140917952,74.9126946445151,Fatigued
106.24372770797339,36.71299070570138,658.1821332828879,Stressed
73.7,33.27,315.4,Fatigued
66.9,32.35,268.5,Fatigued
63.0,32.04,190.1,Fatigued
85.89073330966401,34.0313748541735,307.9105076376113,Focused
74.7,33.35,261.2,Relaxed
62.7,32.42,199.3,Fatigued
51.9,31.76,171.7,Fatigued
58.5,32.07,183.6,Fatigued
69.1,33.58,221.6,Relaxed
75.2,34.06,271.3,Relaxed
84.9,34.01,412.6,Stressed
92.5,35.44,483.2,Focused
58.0,31.34,118.7,Fatigued
60.2,32.57,173.4,Fatigued
87.1,34.39,387.4,Focused
63.6,32.62,156.5,Relaxed
98.6,35.51,543.8,Focused
62.1,32.27,191.0,Fatigued
55.064847994616194,31.299548679661633,211.34820800383284,Fatigued
76.77462314008763,34.26362453502868,283.69667145984056,Focused
95.8,35.07,509.4,Stressed
45.01822112626408,31.083451857461263,179.32017383717832,Fatigued
102.2,35.69,601.4,Stressed
77.6,34.1,344.7,Focused
54.9,31.63,144.7,Fatigued
84.0,34.27,457.0,Focused
64.9,32.56,181.9,Relaxed
100.1,35.66,580.7,Stressed
60.2,32.23,167.4,Fatigued
111.7,36.24,615.2,Stressed
76.9,34.01,333.1,Focused
80.7,34.1,334.8,Focused
72.8,33.25,333.7,Fatigued
68.57029444755761,32.81258595522686,301.59826444497725,Relaxed
99.8,35.65,585.3,Stressed
81.1,34.04,376.9,Stressed
77.6,33.42,379.8,Stressed
63.6,33.12,188.7,Relaxed
72.3,32.98,281.5,Fatigued
59.7,32.28,184.1,Relaxed
88.1012642213754,34.26844997113916,404.2868518295997,Focused
74.2,33.78,319.5,Relaxed
72.9,33.83,237.1,Relaxed
66.4,32.66,177.0,Relaxed
80.5,33.98,391.9,Focused
54.6,31.92,190.7,Fatigued
70.7,33.92,288.2,Relaxed
67.2,32.37,167.2,Relaxed
80.7,34.13,347.7,Focused
58.6,32.28,176.3,Fatigued
76.5,33.95,326.4,Focused
73.5,33.25,288.2,Relaxed
52.85868544845609,31.023104305417903,131.70480413938222,Fatigued
86.2,34.79,455.1,Focused
63.0,31.81,152.2,Fatigued
100.5,35.56,577.9,Stressed
93.9,35.0,491.3,Focused
73.5791747375014,34.14151416120274,365.5303689047327,Focused
69.0,33.68,261.4,Relaxed
57.34501090934251,30.756973303552193,138.7490556369141,Fatigued
69.9,33.07,293.5,Fatigued
91.0,34.45,479.6,Stressed
60.6,31.98,219.2,Fatigued
107.8,35.92,611.1,Stressed
84.2,34.41,386.9,Focused
78.1,33.89,321.8,Focused
72.1,32.94,218.8,Relaxed
72.72274862537802,33.811930784970734,424.6124448082616,Focused
94.4,35.32,494.4,Focused
66.5,32.35,206.3,Relaxed
62.8,32.55,196.9,Relaxed
73.7,33.66,273.0,Relaxed
110.29037441620841,36.79474977019023,607.6831974060929,Stressed
86.2,34.27,351.4,Focused
61.4,32.28,152.8,Fatigued
71.00848732315443,33.368704943192085,169.34503982254373,Relaxed
54.92137877810087,31.74223848144931,235.41826095866492,Fatigued
46.13354127814135,31.23493365108884,144.1709946640499,Fatigued
97.7,35.59,544.5,Focused
61.640475172110634,31.585380747845907,169.24814669745766,Fatigued
98.7,35.56,537.5,Stressed
75.22143352970662,34.655024260607874,369.0635542718385,Focused
76.03019210376779,33.707596604454295,187.0933944473677,Relaxed
101.4,35.44,572.5,Stressed
90.7,33.91,476.4,Stressed
88.7,34.99,430.6,Focused
51.34986384678058,30.42762753867,189.93317821026406,Fatigued
108.1,36.2,648.9,Stressed
109.4,35.65,623.2,Stressed
67.3,32.6,164.3,Relaxed
100.4,35.42,548.0,Focused
51.99324574279786,31.53579896346887,177.1639259461228,Fatigued
57.6,31.62,160.9,Fatigued
68.03293137547796,33.11504917799586,191.97159076582597,Relaxed
58.9,32.24,179.3,Fatigued
74.6,33.82,288.8,Relaxed
58.9,31.33,181.3,Fatigued
53.8,30.99,142.6,Fatigued
84.1,34.48,374.0,Focused
57.5381866974971,31.321483786545006,98.7851022175071,Fatigued
87.6,35.17,447.2,Focused
60.5,31.28,150.2,Fatigued
65.2,32.46,188.9,Relaxed
106.5,36.27,622.1,Stressed
100.3,35.54,533.7,Stressed
78.9,33.69,378.9,Stressed
85.92548399335392,33.803485542328566,453.67306153799683,Focused
71.2,33.07,334.3,Fatigued
95.1,35.17,490.9,Stressed
78.4,33.27,357.0,Stressed
84.5,33.8,387.2,Stressed
126.43115203459463,35.575804132893175,684.8976496746562,Stressed
58.8,31.46,154.8,Fatigued
106.6,36.02,598.6,Stressed
85.00403186543338,33.99141915555308,477.19021030041074,Focused
70.4,33.24,204.6,Relaxed
58.4,31.93,210.9,Fatigued
68.7,32.94,226.9,Relaxed
75.1,34.02,304.6,Relaxed
88.2,35.32,450.1,Focused
67.53380202083041,32.573934529914105,207.0126544756229,Relaxed
67.1,32.75,199.1,Relaxed
60.4,31.72,158.4,Fatigued
55.5,31.6,159.3,Fatigued
98.1,35.2,505.9,Focused
84.88694138728225,34.139362236109505,264.04002728065853,Focused
85.40727202949728,34.26156802378043,399.0481836310203,Focused
68.8,32.48,301.5,Fatigued
57.5,31.97,169.2,Fatigued
88.8,34.42,450.6,Stressed
108.4,36.49,644.7,Stressed
46.390586264094914,31.55670997917915,161.81265884824344,Fatigued
62.8,31.61,208.8,Fatigued
87.5,34.63,365.9,Focused
56.4,31.79,145.7,Fatigued
76.8,33.88,286.3,Relaxed
62.4,31.97,161.1,Fatigued
62.7,32.06,167.6,Fatigued
55.8,31.8,129.7,Fatigued
79.6,34.17,316.2,Focused
70.4,32.76,166.0,Relaxed
104.5,35.78,612.9,Stressed
102.6,36.01,603.0,Stressed
65.65243618010682,32.91295193831273,267.7726637409408,Relaxed
67.1,32.58,306.3,Fatigued
85.8,34.44,431.8,Stressed
95.5,34.78,520.8,Stressed
72.8,33.57,266.7,Relaxed
86.0,34.45,436.9,Focused
72.0,33.72,300.4,Relaxed
65.6,33.06,187.4,Relaxed
55.7,31.52,149.7,Fatigued
62.1,31.93,255.6,Fatigued
82.2,34.57,443.3,Stressed
106.1174288595422,36.64118164785261,709.9632207998939,Stressed
70.0,33.5,226.7,Relaxed
82.2,34.24,365.0,Focused
79.8,33.78,338.5,Focused
60.0,32.02,179.2,Fatigued
71.8,33.46,250.2,Relaxed
71.0,33.16,235.2,Relaxed
68.08450983526183,33.13220412537215,105.86191230130943,Relaxed
67.1,33.15,184.6,Relaxed
104.2,35.93,612.8,Stressed
58.8,31.98,184.4,Fatigued
66.80394655107115,32.85862579044145,162.42475111228745,Relaxed
69.20914186996743,33.36486224251782,223.03393257249252,Relaxed
87.3,33.64,427.8,Stressed
67.2,32.82,184.7,Relaxed
101.7,35.43,569.4,Stressed
61.5,32.25,149.6,Fatigued
58.6,31.92,163.7,Fatigued
60.7,31.52,183.4,Fatigued
103.4,36.0,616.5,Stressed
73.2,33.86,272.1,Relaxed
106.3,36.27,622.8,Stressed
95.3,34.69,500.0,Stressed
69.1,33.18,220.0,Relaxed
59.9,32.14,158.0,Fatigued
78.9,34.04,347.3,Focused
85.4,34.62,429.8,Focused
89.8,34.51,404.8,Focused
108.1,36.11,623.8,Stressed
65.1,33.02,159.8,Relaxed
76.5,34.11,337.2,Focused
54.9,31.29,158.8,Fatigued
71.4,33.2,280.4,Relaxed
115.05445492370447,37.485077625800685,393.1920624037902,Stressed
106.92564710529078,37.23893484424884,708.2286563794809,Stressed
66.4,33.12,188.1,Relaxed
97.2,35.16,515.2,Focused
79.6,34.49,344.7,Focused
73.8,33.23,290.1,Relaxed
58.6,32.02,165.7,Fatigued
64.9,32.76,210.7,Relaxed
57.2,31.56,164.5,Fatigued
91.2,34.9,466.2,Focused
92.0,35.03,488.4,Focused
107.0,36.31,624.9,Stressed
70.7,33.06,276.3,Relaxed
102.4,35.51,622.6,Stressed
84.22594504052394,34.94912250890021,261.8767041908502,Focused
96.0,35.13,540.0,Stressed
102.8,35.94,615.7,Stressed
81.1,34.01,342.4,Focused
72.8,33.05,320.0,Fatigued
102.7,35.74,580.2,Stressed
62.8,32.66,158.4,Relaxed
59.2,31.73,163.9,Fatigued
72.4,33.04,331.4,Fatigued
61.9,32.35,179.3,Fatigued
59.29868283616862,32.22465820196169,187.19772537606084,Fatigued
77.7,33.94,317.8,Relaxed
68.4,33.42,178.3,Relaxed
66.3,32.84,187.4,Relaxed
85.5308120173161,34.669488931259124,425.21439465890387,Focused
59.2,31.88,188.8,Fatigued
113.1190767191839,36.69673727889591,802.7520844117579,Stressed
98.0,35.37,539.0,Stressed
84.1,34.46,407.4,Focused
102.3,35.76,530.7,Stressed
64.9,32.86,151.7,Relaxed
52.918458983804165,32.11536024965423,158.32508748309735,Fatigued
75.9,33.39,366.0,Stressed
107.1,36.2,608.3,Stressed
96.7,35.21,479.9,Focused
60.5,31.82,195.2,Fatigued
87.3,33.96,431.0,Stressed
88.7,34.47,447.4,Stressed
61.3,32.94,165.0,Relaxed
70.5,33.35,200.7,Relaxed
79.6,34.24,347.2,Focused
96.5,35.18,525.5,Stressed
77.7,33.93,294.5,Focused
109.4,36.23,619.0,Stressed
85.9,34.12,428.6,Stressed
90.6,34.78,463.4,Stressed
105.6,35.87,617.1,Stressed
100.3,35.77,596.6,Stressed
105.6,35.93,632.5,Stressed
62.16161826833277,32.98508393293328,291.39878912571567,Relaxed
55.72737621936879,31.40682498159759,196.96378163834487,Fatigued
76.0,33.07,337.1,Stressed
97.2,35.29,515.8,Focused
56.0,31.48,153.2,Fatigued
58.4,31.41,170.5,Fatigued
59.6,31.47,145.3,Fatigued
62.0,31.57,250.9,Fatigued
73.0,33.82,303.8,Focused
65.7,32.39,149.2,Relaxed
76.8,33.73,328.9,Focused
64.9616905041925,32.912878469684394,156.50761258665074,Relaxed
98.6,36.2,563.2,Stressed
97.5,35.28,508.1,Focused
99.1,35.26,562.9,Stressed
57.6,31.46,163.8,Fatigued
75.51508820316766,35.08205969778616,457.9358150894031,Focused
80.3,34.05,345.0,Focused
58.42796652773691,33.10638570002277,189.3223725651456,Relaxed
102.6,36.19,556.1,Stressed
70.2,32.64,311.3,Fatigued
74.6,33.65,328.9,Focused
50.6784983910391,31.186195071656755,222.79910643768807,Fatigued
61.9,32.72,170.2,Fatigued
67.2,33.22,203.0,Relaxed
74.3,33.58,299.2,Relaxed
80.32741257521536,34.834030154589705,455.14740477362284,Focused
58.2,31.31,185.4,Fatigued
88.00211498218876,34.61877817438824,217.9324431415316,Focused
80.95759405355227,34.395764676995114,302.5773237585006,Focused
109.1,35.91,607.4,Stressed
74.3,33.36,332.8,Stressed
104.1,35.66,611.0,Stressed
66.8,32.71,172.5,Relaxed
81.4,34.27,337.8,Focused
68.0,33.15,223.0,Relaxed
98.8,35.58,552.9,Stressed
80.1,34.2,380.8,Focused
83.5,34.44,396.2,Stressed
53.6,31.85,158.2,Fatigued
100.2,35.62,558.6,Focused
63.5,33.2,178.1,Relaxed
95.5,35.36,536.0,Stressed
96.2,35.11,523.5,Stressed
107.0,36.18,636.9,Stressed
64.7,33.75,196.8,Relaxed
83.24560093427895,34.2519128901811,407.26020731748997,Focused
62.0,32.82,206.4,Fatigued
73.5,33.78,253.8,Relaxed
66.3,32.87,177.4,Relaxed
77.9,34.11,318.0,Focused
82.4,34.42,350.9,Focused
101.0,35.6,559.4,Focused
85.8,34.29,422.0,Stressed
62.0,32.21,157.0,Fatigued
64.4,32.57,178.3,Relaxed
75.2,33.36,357.5,Stressed
73.5,32.82,317.1,Fatigued
79.35678824476201,34.03064257305899,497.04549768889365,Focused
50.593390919271506,31.992831653200447,147.79652240384678,Fatigued
115.3070215789188,35.9204383179558,644.7290085477027,Stressed
58.6,31.62,175.2,Fatigued
70.6,33.04,306.4,Fatigued
96.9,35.75,516.5,Focused
101.4,35.86,547.8,Stressed
75.5,33.8,277.1,Relaxed
71.72400517965468,32.50592913900874,243.76821989468579,Relaxed
70.6,33.53,244.9,Relaxed
67.6,32.42,261.7,Fatigued
87.5,34.91,419.1,Focused
76.5,33.2,333.7,Stressed
83.3,34.35,339.7,Focused
61.5,32.31,150.8,Fatigued
64.3,32.0,209.7,Fatigued
102.3,35.72,585.1,Stressed
88.0,34.41,471.6,Stressed
66.0777183604856,33.281095644163955,174.13380874587386,Relaxed
48.1713311353346,31.030335524825013,183.53821353894438,Fatigued
